Customer ID,InvoiceDate,Recency
12346.0,2010-06-28 13:53:00,529
12347.0,2011-12-07 15:52:00,2
12348.0,2011-09-25 13:13:00,75
12349.0,2011-11-21 09:51:00,19
12350.0,2011-02-02 16:01:00,310
12351.0,2010-11-29 15:23:00,375
12352.0,2011-11-03 14:37:00,36
12353.0,2011-05-19 17:47:00,204
12354.0,2011-04-21 13:11:00,232
12355.0,2011-05-09 13:49:00,214
12356.0,2011-11-17 08:40:00,23
12357.0,2011-11-06 16:07:00,33
12358.0,2011-12-08 10:26:00,2
12359.0,2011-10-13 12:47:00,58
12360.0,2011-10-18 15:22:00,52
12361.0,2011-02-25 13:51:00,287
12362.0,2011-12-06 15:40:00,3
12363.0,2011-08-22 10:18:00,110
12364.0,2011-12-02 10:22:00,8
12365.0,2011-02-21 13:51:00,291
12366.0,2010-03-16 10:28:00,634
12367.0,2011-12-05 16:48:00,4
12368.0,2010-03-21 15:56:00,628
12369.0,2010-10-22 13:13:00,413
12370.0,2011-10-19 14:51:00,51
12371.0,2011-10-11 10:43:00,60
12372.0,2011-09-29 12:12:00,72
12373.0,2011-02-01 13:10:00,311
12374.0,2011-11-14 15:37:00,25
12375.0,2011-11-29 10:36:00,11
12376.0,2010-11-15 12:15:00,390
12377.0,2011-01-28 15:45:00,315
12378.0,2011-08-02 10:34:00,130
12379.0,2011-09-19 10:09:00,82
12380.0,2011-11-18 11:27:00,22
12381.0,2011-12-05 12:44:00,5
12383.0,2011-06-08 08:02:00,185
12384.0,2011-11-11 08:39:00,29
12385.0,2010-11-25 15:14:00,379
12386.0,2011-01-06 12:37:00,338
12387.0,2010-10-20 16:27:00,415
12388.0,2011-11-24 12:30:00,16
12389.0,2010-11-02 11:52:00,403
12390.0,2011-09-21 09:33:00,80
12391.0,2011-11-18 12:07:00,22
12392.0,2010-04-27 14:04:00,591
12393.0,2011-09-28 15:41:00,72
12394.0,2011-10-07 08:08:00,64
12395.0,2011-11-20 15:21:00,19
12396.0,2010-02-03 13:22:00,674
12397.0,2011-11-04 09:52:00,36
12398.0,2011-10-25 10:27:00,46
12399.0,2011-08-12 13:15:00,119
12400.0,2010-10-21 13:45:00,414
12401.0,2011-02-09 13:50:00,303
12402.0,2011-01-20 13:49:00,323
12403.0,2011-10-21 10:51:00,50
12405.0,2011-07-14 08:52:00,149
12406.0,2011-11-17 19:22:00,22
12407.0,2011-10-21 10:11:00,50
12408.0,2011-11-07 12:27:00,33
12409.0,2011-09-22 10:38:00,79
12410.0,2011-02-04 10:39:00,309
12411.0,2010-10-26 09:25:00,410
12412.0,2011-09-26 10:16:00,75
12413.0,2011-10-04 09:00:00,67
12414.0,2011-05-06 14:51:00,217
12415.0,2011-11-15 14:22:00,24
12416.0,2010-02-21 10:19:00,657
12417.0,2011-12-06 14:52:00,3
12418.0,2011-08-19 11:08:00,113
12419.0,2010-11-19 10:04:00,386
12420.0,2011-10-07 08:55:00,64
12421.0,2011-11-24 09:07:00,16
12422.0,2011-09-05 09:48:00,96
12423.0,2011-12-09 10:10:00,1
12424.0,2011-06-30 12:06:00,163
12425.0,2011-09-22 17:31:00,78
12426.0,2011-05-29 12:26:00,195
12427.0,2011-11-18 08:56:00,22
12428.0,2011-11-14 08:22:00,26
12429.0,2011-11-30 17:22:00,9
12430.0,2011-10-27 15:09:00,43
12431.0,2011-11-04 11:55:00,36
12432.0,2011-10-28 11:43:00,43
12433.0,2011-12-09 10:02:00,1
12434.0,2011-09-16 12:38:00,85
12435.0,2011-09-21 09:06:00,80
12436.0,2011-09-01 12:09:00,100
12437.0,2011-12-08 11:35:00,2
12438.0,2011-11-25 13:28:00,14
12439.0,2010-01-26 12:11:00,683
12440.0,2010-09-03 13:11:00,462
12441.0,2010-12-08 10:45:00,367
12442.0,2011-12-06 14:22:00,3
12443.0,2009-12-07 15:42:00,732
12444.0,2011-11-18 13:23:00,21
12445.0,2011-11-17 18:43:00,22
12446.0,2011-10-13 12:50:00,58
12447.0,2011-04-10 13:25:00,243
12448.0,2011-10-26 13:46:00,44
12449.0,2011-11-17 13:46:00,22
12450.0,2011-07-06 14:41:00,156
12451.0,2011-11-29 08:40:00,11
12452.0,2011-11-23 08:05:00,17
12453.0,2011-07-28 14:08:00,134
12454.0,2011-10-14 17:13:00,56
12455.0,2011-09-27 15:31:00,73
12456.0,2011-10-26 14:41:00,44
12457.0,2011-10-04 13:13:00,66
12458.0,2011-09-29 15:25:00,71
12459.0,2010-04-13 14:53:00,605
12460.0,2010-09-09 13:51:00,456
12461.0,2011-07-08 10:23:00,155
12462.0,2011-11-21 09:11:00,19
12463.0,2011-10-17 13:44:00,53
12464.0,2011-11-29 13:33:00,10
12465.0,2011-11-22 16:34:00,17
12467.0,2010-10-12 15:41:00,423
12468.0,2011-06-05 11:36:00,188
12469.0,2010-07-05 12:40:00,523
12470.0,2010-01-19 11:01:00,690
12471.0,2011-12-07 15:43:00,2
12472.0,2011-11-07 14:01:00,32
12473.0,2011-10-17 11:27:00,54
12474.0,2011-11-22 14:39:00,17
12475.0,2011-10-17 10:10:00,54
12476.0,2011-11-24 12:40:00,16
12477.0,2011-11-17 09:51:00,23
12478.0,2011-12-06 09:56:00,4
12479.0,2011-11-28 13:26:00,11
12480.0,2011-11-11 14:52:00,28
12481.0,2011-11-17 08:29:00,23
12482.0,2010-05-12 16:51:00,576
12483.0,2011-11-22 17:02:00,17
12484.0,2011-11-04 15:18:00,35
12485.0,2010-06-28 15:22:00,529
12486.0,2010-10-04 12:14:00,432
12487.0,2009-12-09 11:36:00,731
12488.0,2011-11-30 08:50:00,10
12489.0,2011-01-07 13:13:00,336
12490.0,2011-12-04 16:07:00,5
12491.0,2011-11-01 12:18:00,39
12492.0,2011-10-07 15:15:00,63
